# Assembly name:  EquCab3.0
# Organism name:  Equus caballus (horse)
# Infraspecific name:  breed=thoroughbred
# Isolate:  Twilight
# Sex:  female
# Taxid:          9796
# BioSample:      SAMN02953672
# BioProject:     PRJNA421018
# Submitter:      University of Louisville
# Date:           2018-01-05
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    PJAA01
# Assembly method: Celera Assembler v. 2017; HiRise v. 2017
# Expected final version: yes
# Genome coverage: 88.0x
# Sequencing technology: Sanger; Illumina HiSeq; PacBio
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_002863925.1
# RefSeq assembly accession: GCF_002863925.1
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_002863935.1	GCF_002863935.1	Primary Assembly
## 	GCF_000215765.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
Contig3954	unplaced-scaffold	na	na	PJAA01000719.1	=	NW_019642969.1	Primary Assembly	23748	na
Contig3955	unplaced-scaffold	na	na	PJAA01000720.1	=	NW_019642970.1	Primary Assembly	32446	na
Contig3956	unplaced-scaffold	na	na	PJAA01000721.1	=	NW_019642972.1	Primary Assembly	15619	na
Contig3957	unplaced-scaffold	na	na	PJAA01000722.1	=	NW_019642974.1	Primary Assembly	18766	na
Contig3958	unplaced-scaffold	na	na	PJAA01000723.1	=	NW_019642975.1	Primary Assembly	15004	na
Contig3959	unplaced-scaffold	na	na	PJAA01000724.1	=	NW_019642977.1	Primary Assembly	12097	na
Contig3960	unplaced-scaffold	na	na	PJAA01000725.1	=	NW_019642979.1	Primary Assembly	10953	na
Contig3961	unplaced-scaffold	na	na	PJAA01000726.1	=	NW_019642981.1	Primary Assembly	6143	na
Contig3962	unplaced-scaffold	na	na	PJAA01000727.1	=	NW_019642982.1	Primary Assembly	7284	na
Contig3963	unplaced-scaffold	na	na	PJAA01000728.1	=	NW_019642983.1	Primary Assembly	3859	na
Contig3964	unplaced-scaffold	na	na	PJAA01000729.1	=	NW_019642985.1	Primary Assembly	3516	na
Contig3965	unplaced-scaffold	na	na	PJAA01000730.1	=	NW_019642986.1	Primary Assembly	5212	na
Contig3966	unplaced-scaffold	na	na	PJAA01000731.1	=	NW_019642987.1	Primary Assembly	6702	na
Contig3967	unplaced-scaffold	na	na	PJAA01000732.1	=	NW_019642988.1	Primary Assembly	3662	na
Contig3968	unplaced-scaffold	na	na	PJAA01000733.1	=	NW_019642989.1	Primary Assembly	7301	na
Contig3969	unplaced-scaffold	na	na	PJAA01000734.1	=	NW_019642990.1	Primary Assembly	4004	na
Contig3970	unplaced-scaffold	na	na	PJAA01000735.1	=	NW_019642991.1	Primary Assembly	4289	na
Contig3971	unplaced-scaffold	na	na	PJAA01000736.1	=	NW_019642992.1	Primary Assembly	6744	na
Contig3972	unplaced-scaffold	na	na	PJAA01000737.1	=	NW_019642993.1	Primary Assembly	3452	na
Contig3973	unplaced-scaffold	na	na	PJAA01000738.1	=	NW_019642994.1	Primary Assembly	3954	na
Contig3974	unplaced-scaffold	na	na	PJAA01000739.1	=	NW_019642995.1	Primary Assembly	4011	na
Contig3975	unplaced-scaffold	na	na	PJAA01000740.1	=	NW_019642998.1	Primary Assembly	5579	na
Contig3976	unplaced-scaffold	na	na	PJAA01000741.1	=	NW_019642999.1	Primary Assembly	5221	na
Contig3977	unplaced-scaffold	na	na	PJAA01000742.1	=	NW_019643000.1	Primary Assembly	5018	na
Contig3978	unplaced-scaffold	na	na	PJAA01000743.1	=	NW_019643001.1	Primary Assembly	3885	na
Contig3979	unplaced-scaffold	na	na	PJAA01000744.1	=	NW_019643002.1	Primary Assembly	5125	na
Contig3980	unplaced-scaffold	na	na	PJAA01000745.1	=	NW_019643004.1	Primary Assembly	7338	na
Contig3981	unplaced-scaffold	na	na	PJAA01000746.1	=	NW_019643005.1	Primary Assembly	4082	na
Contig4047	unplaced-scaffold	na	na	PJAA01000747.1	=	NW_019643025.1	Primary Assembly	3072	na
Contig4086	unplaced-scaffold	na	na	PJAA01000748.1	=	NW_019643034.1	Primary Assembly	20642	na
Contig4087	unplaced-scaffold	na	na	PJAA01000749.1	=	NW_019643035.1	Primary Assembly	18849	na
Contig4088	unplaced-scaffold	na	na	PJAA01000750.1	=	NW_019643036.1	Primary Assembly	18499	na
Contig4089	unplaced-scaffold	na	na	PJAA01000751.1	=	NW_019643037.1	Primary Assembly	11158	na
Contig4090	unplaced-scaffold	na	na	PJAA01000752.1	=	NW_019643038.1	Primary Assembly	17115	na
Contig4091	unplaced-scaffold	na	na	PJAA01000753.1	=	NW_019643040.1	Primary Assembly	17447	na
Contig4092	unplaced-scaffold	na	na	PJAA01000754.1	=	NW_019643042.1	Primary Assembly	12483	na
Contig4093	unplaced-scaffold	na	na	PJAA01000755.1	=	NW_019643043.1	Primary Assembly	14300	na
Contig4094	unplaced-scaffold	na	na	PJAA01000756.1	=	NW_019643044.1	Primary Assembly	107175	na
Contig4095	unplaced-scaffold	na	na	PJAA01000757.1	=	NW_019643045.1	Primary Assembly	11382	na
Contig4096	unplaced-scaffold	na	na	PJAA01000758.1	=	NW_019643047.1	Primary Assembly	7729	na
Contig4097	unplaced-scaffold	na	na	PJAA01000759.1	=	NW_019643049.1	Primary Assembly	6695	na
Contig4098	unplaced-scaffold	na	na	PJAA01000760.1	=	NW_019643050.1	Primary Assembly	4881	na
Contig4099	unplaced-scaffold	na	na	PJAA01000761.1	=	NW_019643051.1	Primary Assembly	5539	na
Contig4100	unplaced-scaffold	na	na	PJAA01000762.1	=	NW_019643053.1	Primary Assembly	12868	na
Contig4101	unplaced-scaffold	na	na	PJAA01000763.1	=	NW_019643054.1	Primary Assembly	7036	na
Contig4102	unplaced-scaffold	na	na	PJAA01000764.1	=	NW_019643058.1	Primary Assembly	9634	na
Contig4104	unplaced-scaffold	na	na	PJAA01000765.1	=	NW_019643060.1	Primary Assembly	3546	na
Contig4106	unplaced-scaffold	na	na	PJAA01000766.1	=	NW_019643061.1	Primary Assembly	3387	na
Contig4107	unplaced-scaffold	na	na	PJAA01000767.1	=	NW_019643062.1	Primary Assembly	3324	na
Contig4108	unplaced-scaffold	na	na	PJAA01000768.1	=	NW_019643063.1	Primary Assembly	4587	na
Contig4109	unplaced-scaffold	na	na	PJAA01000769.1	=	NW_019643064.1	Primary Assembly	5524	na
Contig4111	unplaced-scaffold	na	na	PJAA01000770.1	=	NW_019643066.1	Primary Assembly	4527	na
Contig4112	unplaced-scaffold	na	na	PJAA01000771.1	=	NW_019643067.1	Primary Assembly	14994	na
Contig4113	unplaced-scaffold	na	na	PJAA01000772.1	=	NW_019643068.1	Primary Assembly	4699	na
Contig4203	unplaced-scaffold	na	na	PJAA01000773.1	=	NW_019643101.1	Primary Assembly	30572	na
Contig4205	unplaced-scaffold	na	na	PJAA01000774.1	=	NW_019643102.1	Primary Assembly	20895	na
Contig4206	unplaced-scaffold	na	na	PJAA01000775.1	=	NW_019643103.1	Primary Assembly	12233	na
Contig4207	unplaced-scaffold	na	na	PJAA01000776.1	=	NW_019643105.1	Primary Assembly	10920	na
Contig4208	unplaced-scaffold	na	na	PJAA01000777.1	=	NW_019643106.1	Primary Assembly	12888	na
Contig4209	unplaced-scaffold	na	na	PJAA01000778.1	=	NW_019643107.1	Primary Assembly	7264	na
Contig4210	unplaced-scaffold	na	na	PJAA01000779.1	=	NW_019643108.1	Primary Assembly	6934	na
Contig4211	unplaced-scaffold	na	na	PJAA01000780.1	=	NW_019643109.1	Primary Assembly	8102	na
Contig4212	unplaced-scaffold	na	na	PJAA01000781.1	=	NW_019643110.1	Primary Assembly	6848	na
Contig4213	unplaced-scaffold	na	na	PJAA01000782.1	=	NW_019643111.1	Primary Assembly	24640	na
Contig4214	unplaced-scaffold	na	na	PJAA01000783.1	=	NW_019643112.1	Primary Assembly	16664	na
Contig4215	unplaced-scaffold	na	na	PJAA01000784.1	=	NW_019643115.1	Primary Assembly	3613	na
Contig4216	unplaced-scaffold	na	na	PJAA01000785.1	=	NW_019643117.1	Primary Assembly	4015	na
Contig4217	unplaced-scaffold	na	na	PJAA01000786.1	=	NW_019643119.1	Primary Assembly	3502	na
Contig4218	unplaced-scaffold	na	na	PJAA01000787.1	=	NW_019643120.1	Primary Assembly	3643	na
Contig4219	unplaced-scaffold	na	na	PJAA01000788.1	=	NW_019643121.1	Primary Assembly	6173	na
Contig4220	unplaced-scaffold	na	na	PJAA01000789.1	=	NW_019643122.1	Primary Assembly	4263	na
Contig4221	unplaced-scaffold	na	na	PJAA01000790.1	=	NW_019643123.1	Primary Assembly	6000	na
Contig4225	unplaced-scaffold	na	na	PJAA01000791.1	=	NW_019643125.1	Primary Assembly	3525	na
Contig4244	unplaced-scaffold	na	na	PJAA01000792.1	=	NW_019643130.1	Primary Assembly	4031	na
Contig4255	unplaced-scaffold	na	na	PJAA01000793.1	=	NW_019643133.1	Primary Assembly	3889	na
Contig4259	unplaced-scaffold	na	na	PJAA01000794.1	=	NW_019643134.1	Primary Assembly	11225	na
Contig4276	unplaced-scaffold	na	na	PJAA01000795.1	=	NW_019643141.1	Primary Assembly	5306	na
Contig4293	unplaced-scaffold	na	na	PJAA01000796.1	=	NW_019643148.1	Primary Assembly	3234	na
Contig4305	unplaced-scaffold	na	na	PJAA01000797.1	=	NW_019643152.1	Primary Assembly	109183	na
Contig4306	unplaced-scaffold	na	na	PJAA01000798.1	=	NW_019643153.1	Primary Assembly	11173	na
Contig4307	unplaced-scaffold	na	na	PJAA01000799.1	=	NW_019643155.1	Primary Assembly	7514	na
Contig4308	unplaced-scaffold	na	na	PJAA01000800.1	=	NW_019643156.1	Primary Assembly	9911	na
Contig4309	unplaced-scaffold	na	na	PJAA01000801.1	=	NW_019643157.1	Primary Assembly	6053	na
Contig4310	unplaced-scaffold	na	na	PJAA01000802.1	=	NW_019643159.1	Primary Assembly	3887	na
Contig4311	unplaced-scaffold	na	na	PJAA01000803.1	=	NW_019643160.1	Primary Assembly	6067	na
Contig4312	unplaced-scaffold	na	na	PJAA01000804.1	=	NW_019643161.1	Primary Assembly	3841	na
Contig4313	unplaced-scaffold	na	na	PJAA01000805.1	=	NW_019643162.1	Primary Assembly	3271	na
Contig4314	unplaced-scaffold	na	na	PJAA01000806.1	=	NW_019643163.1	Primary Assembly	4555	na
Contig4315	unplaced-scaffold	na	na	PJAA01000807.1	=	NW_019643164.1	Primary Assembly	3348	na
Contig4342	unplaced-scaffold	na	na	PJAA01000808.1	=	NW_019643173.1	Primary Assembly	3618	na
Contig4346	unplaced-scaffold	na	na	PJAA01000809.1	=	NW_019643174.1	Primary Assembly	3220	na
Contig4358	unplaced-scaffold	na	na	PJAA01000810.1	=	NW_019643179.1	Primary Assembly	3194	na
Contig4389	unplaced-scaffold	na	na	PJAA01000811.1	=	NW_019643189.1	Primary Assembly	5223	na
Contig4390	unplaced-scaffold	na	na	PJAA01000812.1	=	NW_019643191.1	Primary Assembly	17782	na
Contig4391	unplaced-scaffold	na	na	PJAA01000813.1	=	NW_019643192.1	Primary Assembly	6195	na
Contig4392	unplaced-scaffold	na	na	PJAA01000814.1	=	NW_019643193.1	Primary Assembly	11902	na
Contig4393	unplaced-scaffold	na	na	PJAA01000815.1	=	NW_019643194.1	Primary Assembly	5638	na
Contig4394	unplaced-scaffold	na	na	PJAA01000816.1	=	NW_019643195.1	Primary Assembly	8494	na
Contig4395	unplaced-scaffold	na	na	PJAA01000817.1	=	NW_019643196.1	Primary Assembly	6063	na
Contig4396	unplaced-scaffold	na	na	PJAA01000818.1	=	NW_019643197.1	Primary Assembly	5953	na
Contig4397	unplaced-scaffold	na	na	PJAA01000819.1	=	NW_019643198.1	Primary Assembly	6823	na
Contig4398	unplaced-scaffold	na	na	PJAA01000820.1	=	NW_019643199.1	Primary Assembly	3223	na
Contig4399	unplaced-scaffold	na	na	PJAA01000821.1	=	NW_019643201.1	Primary Assembly	3631	na
Contig4400	unplaced-scaffold	na	na	PJAA01000822.1	=	NW_019643203.1	Primary Assembly	5883	na
Contig4401	unplaced-scaffold	na	na	PJAA01000823.1	=	NW_019643204.1	Primary Assembly	4366	na
Contig4402	unplaced-scaffold	na	na	PJAA01000824.1	=	NW_019643205.1	Primary Assembly	3481	na
Contig4403	unplaced-scaffold	na	na	PJAA01000825.1	=	NW_019643206.1	Primary Assembly	4743	na
Contig4404	unplaced-scaffold	na	na	PJAA01000826.1	=	NW_019643207.1	Primary Assembly	8461	na
Contig4435	unplaced-scaffold	na	na	PJAA01000827.1	=	NW_019643216.1	Primary Assembly	4997	na
Contig4452	unplaced-scaffold	na	na	PJAA01000828.1	=	NW_019643219.1	Primary Assembly	8413	na
Contig4453	unplaced-scaffold	na	na	PJAA01000829.1	=	NW_019643220.1	Primary Assembly	13262	na
Contig4454	unplaced-scaffold	na	na	PJAA01000830.1	=	NW_019643222.1	Primary Assembly	5793	na
Contig4455	unplaced-scaffold	na	na	PJAA01000831.1	=	NW_019643223.1	Primary Assembly	6381	na
Contig4456	unplaced-scaffold	na	na	PJAA01000832.1	=	NW_019643224.1	Primary Assembly	5916	na
Contig4457	unplaced-scaffold	na	na	PJAA01000833.1	=	NW_019643225.1	Primary Assembly	4320	na
Contig4458	unplaced-scaffold	na	na	PJAA01000834.1	=	NW_019643226.1	Primary Assembly	3943	na
Contig4459	unplaced-scaffold	na	na	PJAA01000835.1	=	NW_019643228.1	Primary Assembly	4004	na
Contig4460	unplaced-scaffold	na	na	PJAA01000836.1	=	NW_019643229.1	Primary Assembly	4811	na
Contig4461	unplaced-scaffold	na	na	PJAA01000837.1	=	NW_019643230.1	Primary Assembly	4165	na
Contig4462	unplaced-scaffold	na	na	PJAA01000838.1	=	NW_019643231.1	Primary Assembly	3753	na
Contig4510	unplaced-scaffold	na	na	PJAA01000839.1	=	NW_019643242.1	Primary Assembly	7861	na
Contig4511	unplaced-scaffold	na	na	PJAA01000840.1	=	NW_019643243.1	Primary Assembly	5769	na
Contig4512	unplaced-scaffold	na	na	PJAA01000841.1	=	NW_019643245.1	Primary Assembly	18574	na
Contig4513	unplaced-scaffold	na	na	PJAA01000842.1	=	NW_019643246.1	Primary Assembly	5795	na
Contig4514	unplaced-scaffold	na	na	PJAA01000843.1	=	NW_019643247.1	Primary Assembly	5339	na
Contig4515	unplaced-scaffold	na	na	PJAA01000844.1	=	NW_019643248.1	Primary Assembly	42347	na
Contig4516	unplaced-scaffold	na	na	PJAA01000845.1	=	NW_019643249.1	Primary Assembly	4622	na
Contig4517	unplaced-scaffold	na	na	PJAA01000846.1	=	NW_019643250.1	Primary Assembly	5038	na
Contig4518	unplaced-scaffold	na	na	PJAA01000847.1	=	NW_019643251.1	Primary Assembly	7633	na
Contig4519	unplaced-scaffold	na	na	PJAA01000848.1	=	NW_019643252.1	Primary Assembly	4161	na
Contig4520	unplaced-scaffold	na	na	PJAA01000849.1	=	NW_019643253.1	Primary Assembly	41179	na
Contig4521	unplaced-scaffold	na	na	PJAA01000850.1	=	NW_019643255.1	Primary Assembly	3084	na
Contig4522	unplaced-scaffold	na	na	PJAA01000851.1	=	NW_019643256.1	Primary Assembly	8799	na
Contig4529	unplaced-scaffold	na	na	PJAA01000852.1	=	NW_019643261.1	Primary Assembly	7988	na
Contig4548	unplaced-scaffold	na	na	PJAA01000853.1	=	NW_019643269.1	Primary Assembly	12112	na
Contig4569	unplaced-scaffold	na	na	PJAA01000854.1	=	NW_019643274.1	Primary Assembly	12430	na
Contig4570	unplaced-scaffold	na	na	PJAA01000855.1	=	NW_019643276.1	Primary Assembly	10259	na
Contig4571	unplaced-scaffold	na	na	PJAA01000856.1	=	NW_019643277.1	Primary Assembly	8413	na
Contig4572	unplaced-scaffold	na	na	PJAA01000857.1	=	NW_019643278.1	Primary Assembly	3708	na
Contig4573	unplaced-scaffold	na	na	PJAA01000858.1	=	NW_019643279.1	Primary Assembly	3381	na
Contig4574	unplaced-scaffold	na	na	PJAA01000859.1	=	NW_019643280.1	Primary Assembly	3103	na
Contig4575	unplaced-scaffold	na	na	PJAA01000860.1	=	NW_019643281.1	Primary Assembly	4393	na
Contig4591	unplaced-scaffold	na	na	PJAA01000861.1	=	NW_019643290.1	Primary Assembly	5633	na
Contig4605	unplaced-scaffold	na	na	PJAA01000862.1	=	NW_019643299.1	Primary Assembly	4925	na
Contig4619	unplaced-scaffold	na	na	PJAA01000863.1	=	NW_019643300.1	Primary Assembly	3411	na
Contig4620	unplaced-scaffold	na	na	PJAA01000864.1	=	NW_019643301.1	Primary Assembly	5581	na
Contig4621	unplaced-scaffold	na	na	PJAA01000865.1	=	NW_019643303.1	Primary Assembly	5578	na
Contig4665	unplaced-scaffold	na	na	PJAA01000866.1	=	NW_019643313.1	Primary Assembly	10905	na
Contig4666	unplaced-scaffold	na	na	PJAA01000867.1	=	NW_019643314.1	Primary Assembly	12733	na
Contig4667	unplaced-scaffold	na	na	PJAA01000868.1	=	NW_019643316.1	Primary Assembly	3041	na
Contig4668	unplaced-scaffold	na	na	PJAA01000869.1	=	NW_019643317.1	Primary Assembly	3527	na
Contig4674	unplaced-scaffold	na	na	PJAA01000870.1	=	NW_019643319.1	Primary Assembly	3053	na
Contig4690	unplaced-scaffold	na	na	PJAA01000871.1	=	NW_019643324.1	Primary Assembly	27643	na
Contig4700	unplaced-scaffold	na	na	PJAA01000872.1	=	NW_019643331.1	Primary Assembly	200101	na
Contig4701	unplaced-scaffold	na	na	PJAA01000873.1	=	NW_019643332.1	Primary Assembly	17585	na
Contig4702	unplaced-scaffold	na	na	PJAA01000874.1	=	NW_019643333.1	Primary Assembly	10244	na
Contig4703	unplaced-scaffold	na	na	PJAA01000875.1	=	NW_019643334.1	Primary Assembly	12137	na
Contig4704	unplaced-scaffold	na	na	PJAA01000876.1	=	NW_019643335.1	Primary Assembly	7775	na
Contig4705	unplaced-scaffold	na	na	PJAA01000877.1	=	NW_019643336.1	Primary Assembly	11077	na
Contig4716	unplaced-scaffold	na	na	PJAA01000878.1	=	NW_019643337.1	Primary Assembly	13361	na
Contig4717	unplaced-scaffold	na	na	PJAA01000879.1	=	NW_019643339.1	Primary Assembly	7248	na
Contig4718	unplaced-scaffold	na	na	PJAA01000880.1	=	NW_019643340.1	Primary Assembly	5582	na
Contig4719	unplaced-scaffold	na	na	PJAA01000881.1	=	NW_019643341.1	Primary Assembly	3417	na
Contig4720	unplaced-scaffold	na	na	PJAA01000882.1	=	NW_019643342.1	Primary Assembly	6195	na
Contig4721	unplaced-scaffold	na	na	PJAA01000883.1	=	NW_019643345.1	Primary Assembly	4462	na
Contig4722	unplaced-scaffold	na	na	PJAA01000884.1	=	NW_019643346.1	Primary Assembly	4248	na
Contig4723	unplaced-scaffold	na	na	PJAA01000885.1	=	NW_019643347.1	Primary Assembly	4322	na
Contig4740	unplaced-scaffold	na	na	PJAA01000886.1	=	NW_019643353.1	Primary Assembly	542334	na
Contig4741	unplaced-scaffold	na	na	PJAA01000887.1	=	NW_019643354.1	Primary Assembly	12237	na
Contig4742	unplaced-scaffold	na	na	PJAA01000888.1	=	NW_019643355.1	Primary Assembly	6146	na
Contig4743	unplaced-scaffold	na	na	PJAA01000889.1	=	NW_019643356.1	Primary Assembly	155237	na
Contig4744	unplaced-scaffold	na	na	PJAA01000890.1	=	NW_019643357.1	Primary Assembly	4027	na
Contig4760	unplaced-scaffold	na	na	PJAA01000891.1	=	NW_019643360.1	Primary Assembly	16760	na
Contig4761	unplaced-scaffold	na	na	PJAA01000892.1	=	NW_019643361.1	Primary Assembly	8651	na
Contig4762	unplaced-scaffold	na	na	PJAA01000893.1	=	NW_019643362.1	Primary Assembly	22234	na
Contig4763	unplaced-scaffold	na	na	PJAA01000894.1	=	NW_019643363.1	Primary Assembly	3829	na
Contig4764	unplaced-scaffold	na	na	PJAA01000895.1	=	NW_019643364.1	Primary Assembly	3379	na
Contig4765	unplaced-scaffold	na	na	PJAA01000896.1	=	NW_019643366.1	Primary Assembly	13337	na
Contig4769	unplaced-scaffold	na	na	PJAA01000897.1	=	NW_019643368.1	Primary Assembly	4619	na
Contig4773	unplaced-scaffold	na	na	PJAA01000898.1	=	NW_019643370.1	Primary Assembly	4501	na
Contig4775	unplaced-scaffold	na	na	PJAA01000899.1	=	NW_019643371.1	Primary Assembly	10487	na
Contig4776	unplaced-scaffold	na	na	PJAA01000900.1	=	NW_019643373.1	Primary Assembly	57784	na
Contig4777	unplaced-scaffold	na	na	PJAA01000901.1	=	NW_019643374.1	Primary Assembly	21562	na
Contig4778	unplaced-scaffold	na	na	PJAA01000902.1	=	NW_019643375.1	Primary Assembly	4646	na
Contig4783	unplaced-scaffold	na	na	PJAA01000903.1	=	NW_019643378.1	Primary Assembly	18155	na
Contig4784	unplaced-scaffold	na	na	PJAA01000904.1	=	NW_019643380.1	Primary Assembly	9014	na
Contig4785	unplaced-scaffold	na	na	PJAA01000905.1	=	NW_019643381.1	Primary Assembly	3471	na
Contig4787	unplaced-scaffold	na	na	PJAA01000906.1	=	NW_019643382.1	Primary Assembly	9359	na
Contig4792	unplaced-scaffold	na	na	PJAA01000907.1	=	NW_019643386.1	Primary Assembly	3144	na
Contig4793	unplaced-scaffold	na	na	PJAA01000908.1	=	NW_019643388.1	Primary Assembly	3037	na
Contig4797	unplaced-scaffold	na	na	PJAA01000909.1	=	NW_019643389.1	Primary Assembly	534372	na
Contig4798	unplaced-scaffold	na	na	PJAA01000910.1	=	NW_019643390.1	Primary Assembly	609798	na
Contig4799	unplaced-scaffold	na	na	PJAA01000911.1	=	NW_019643391.1	Primary Assembly	536585	na
Contig4800	unplaced-scaffold	na	na	PJAA01000912.1	=	NW_019643393.1	Primary Assembly	926035	na
Contig4801	unplaced-scaffold	na	na	PJAA01000913.1	=	NW_019643395.1	Primary Assembly	5107	na
Contig4802	unplaced-scaffold	na	na	PJAA01000914.1	=	NW_019643396.1	Primary Assembly	10292	na
Contig4803	unplaced-scaffold	na	na	PJAA01000915.1	=	NW_019643397.1	Primary Assembly	5707	na
Contig4811	unplaced-scaffold	na	na	PJAA01000916.1	=	NW_019643403.1	Primary Assembly	1077969	na
Contig4812	unplaced-scaffold	na	na	PJAA01000917.1	=	NW_019643404.1	Primary Assembly	301194	na
Contig4813	unplaced-scaffold	na	na	PJAA01000918.1	=	NW_019643405.1	Primary Assembly	5001	na
Contig4814	unplaced-scaffold	na	na	PJAA01000919.1	=	NW_019643406.1	Primary Assembly	5408	na
Contig4822	unplaced-scaffold	na	na	PJAA01000920.1	=	NW_019643412.1	Primary Assembly	6210	na
Contig4823	unplaced-scaffold	na	na	PJAA01000921.1	=	NW_019643413.1	Primary Assembly	7696	na
Contig4825	unplaced-scaffold	na	na	PJAA01000922.1	=	NW_019643415.1	Primary Assembly	3428	na
Contig4830	unplaced-scaffold	na	na	PJAA01000923.1	=	NW_019643419.1	Primary Assembly	458105	na
Contig4831	unplaced-scaffold	na	na	PJAA01000924.1	=	NW_019643420.1	Primary Assembly	26999	na
Contig4837	unplaced-scaffold	na	na	PJAA01000925.1	=	NW_019643421.1	Primary Assembly	531906	na
Contig4838	unplaced-scaffold	na	na	PJAA01000926.1	=	NW_019643422.1	Primary Assembly	173256	na
Contig4839	unplaced-scaffold	na	na	PJAA01000927.1	=	NW_019643423.1	Primary Assembly	80966	na
Contig4841	unplaced-scaffold	na	na	PJAA01000928.1	=	NW_019643425.1	Primary Assembly	7897	na
Contig4842	unplaced-scaffold	na	na	PJAA01000929.1	=	NW_019643427.1	Primary Assembly	3748	na
Contig4848	unplaced-scaffold	na	na	PJAA01000930.1	=	NW_019643429.1	Primary Assembly	176847	na
Contig4849	unplaced-scaffold	na	na	PJAA01000931.1	=	NW_019643431.1	Primary Assembly	43768	na
Contig4850	unplaced-scaffold	na	na	PJAA01000932.1	=	NW_019643432.1	Primary Assembly	8631	na
Contig4857	unplaced-scaffold	na	na	PJAA01000933.1	=	NW_019643434.1	Primary Assembly	115370	na
Contig4858	unplaced-scaffold	na	na	PJAA01000934.1	=	NW_019643436.1	Primary Assembly	8857	na
Contig4859	unplaced-scaffold	na	na	PJAA01000935.1	=	NW_019643437.1	Primary Assembly	3953	na
Contig4860	unplaced-scaffold	na	na	PJAA01000936.1	=	NW_019643438.1	Primary Assembly	3695	na
Contig4862	unplaced-scaffold	na	na	PJAA01000937.1	=	NW_019643439.1	Primary Assembly	9279	na
Contig4863	unplaced-scaffold	na	na	PJAA01000938.1	=	NW_019643440.1	Primary Assembly	17422	na
Contig4864	unplaced-scaffold	na	na	PJAA01000939.1	=	NW_019643441.1	Primary Assembly	4005	na
Contig4867	unplaced-scaffold	na	na	PJAA01000940.1	=	NW_019643442.1	Primary Assembly	185863	na
Contig4868	unplaced-scaffold	na	na	PJAA01000941.1	=	NW_019643443.1	Primary Assembly	13817	na
Contig4869	unplaced-scaffold	na	na	PJAA01000942.1	=	NW_019643445.1	Primary Assembly	41144	na
Contig4873	unplaced-scaffold	na	na	PJAA01000943.1	=	NW_019643448.1	Primary Assembly	117510	na
Contig4874	unplaced-scaffold	na	na	PJAA01000944.1	=	NW_019643450.1	Primary Assembly	141649	na
Contig4875	unplaced-scaffold	na	na	PJAA01000945.1	=	NW_019643451.1	Primary Assembly	4766	na
Contig4876	unplaced-scaffold	na	na	PJAA01000946.1	=	NW_019643452.1	Primary Assembly	3093	na
Contig4880	unplaced-scaffold	na	na	PJAA01000947.1	=	NW_019643454.1	Primary Assembly	30156	na
Contig4881	unplaced-scaffold	na	na	PJAA01000948.1	=	NW_019643455.1	Primary Assembly	46574	na
Contig4882	unplaced-scaffold	na	na	PJAA01000949.1	=	NW_019643456.1	Primary Assembly	16792	na
Contig4883	unplaced-scaffold	na	na	PJAA01000950.1	=	NW_019643457.1	Primary Assembly	7214	na
Contig4884	unplaced-scaffold	na	na	PJAA01000951.1	=	NW_019643459.1	Primary Assembly	20166	na
Contig4888	unplaced-scaffold	na	na	PJAA01000952.1	=	NW_019643461.1	Primary Assembly	43391	na
Contig4889	unplaced-scaffold	na	na	PJAA01000953.1	=	NW_019643462.1	Primary Assembly	45550	na
Contig4890	unplaced-scaffold	na	na	PJAA01000954.1	=	NW_019643464.1	Primary Assembly	64000	na
Contig4891	unplaced-scaffold	na	na	PJAA01000955.1	=	NW_019643466.1	Primary Assembly	34533	na
Contig4892	unplaced-scaffold	na	na	PJAA01000956.1	=	NW_019643467.1	Primary Assembly	45920	na
Contig4893	unplaced-scaffold	na	na	PJAA01000957.1	=	NW_019643468.1	Primary Assembly	8943	na
Contig4894	unplaced-scaffold	na	na	PJAA01000958.1	=	NW_019643469.1	Primary Assembly	5593	na
Contig4895	unplaced-scaffold	na	na	PJAA01000959.1	=	NW_019643470.1	Primary Assembly	38134	na
Contig4896	unplaced-scaffold	na	na	PJAA01000960.1	=	NW_019643472.1	Primary Assembly	37854	na
Contig4897	unplaced-scaffold	na	na	PJAA01000961.1	=	NW_019643474.1	Primary Assembly	30756	na
Contig4898	unplaced-scaffold	na	na	PJAA01000962.1	=	NW_019643475.1	Primary Assembly	365947	na
Contig4899	unplaced-scaffold	na	na	PJAA01000963.1	=	NW_019643476.1	Primary Assembly	315736	na
Contig4900	unplaced-scaffold	na	na	PJAA01000964.1	=	NW_019643478.1	Primary Assembly	15790	na
Contig4901	unplaced-scaffold	na	na	PJAA01000965.1	=	NW_019643479.1	Primary Assembly	33283	na
